id_product,name ,Fabricant,quatity_masse,quantity_vol,Score Danger,description,cas_number,État physique,cid_number,phase_risque,Classif. SGH,ICPE,pH,Temp_ébullition,pression_vapeur,code_tunnel
"12252,3",isobutyric acid,Janssen,"0,5",,20,,79-31-2,Liquide,H302 H312,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.)",,"2,3",156 °C,200 Pa,D/E
41013,ethylidene diacetate,Acros Organics,"0,1",,,,542-10-9,Liquide,,,,Non soumis,,,,
160390250,1-bromo-3-nitrobenzene,Acros Organics,"0,025",,130,,585-79-5,Solide,H302 H312 H315 H319 H332 H335,R16,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,256 °C,,E
,"1,2-dibromobenzene",Avocado,,"0,005",111,,583-53-9,Liquide,H315 H319 H335 H411,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3, Aquatic chronic Chronic 2",4511,,,,
348930250,"1,2-dibromobenzene",Acros Organics,,"0,025",111,,583-53-9,Liquide,H315 H319 H335 H411,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3, Aquatic chronic Chronic 2",4511,,,,
149900050,trans-2-hexene,Acros Organics,,"0,005",0,,4050-45-7,Liquide,H225,R14,Flam. Liq. 2,,,68 °C,"263 mmHg à 37,7 °C",
132121000,(S)-(-)-2-pyrrolidone-5-carboxylic acid,Acros Organics,"0,1",,100,,98-79-3,Solide,H318,,Eye Dam. 1,Non soumis,"1,7",,,
129590050,7-oxabicyclo[2.2.1]heptane,Acros Organics,"0,005",,0,,279-49-2,Liquide,H225,,Flam. Liq. 2,,,,,
119031000,"ethyl 4,4,4-trifluoroacetoacetate",Acros Organics,,"0,2",10,,372-31-6,Liquide,H226 H302 H412,,"Flam. Liq. 3, Acute Tox. 4 (Oral), Aquatic chronic Chronic 3",,"6,2",,6 mmHg à 20 °C,D/E
59900,methyl isovalerate,Chemica,,"0,1",0,,556-24-1,Liquide,H225,,Flam. Liq. 2,,,,,D/E
102491000,2-acetylbutyrolactone,Acros Organics,,"0,125",111,,517-23-7,Liquide,H315 H319 H335,R10,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,"3,6",107 °C,800 Pa à 20 °C,
114200050,diethylcarbamyl chloride,Acros Organics,,"0,005",500,,88-10-8,Liquide,H302 H315 H319 H332 H335 H351,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Inhal.), Skin Irrit. 2, Eye Irrit. 2A, Carc. 2, STOT SE 3",Non soumis,,,,E
1192900250,4-fluoroaniline,Acros Organics,,"0,025",110,,371-40-4,Liquide,H302 H314,,"Acute Tox. 4 (Oral), Skin Corr. 1B",Non soumis,,,,E
248670100,(+-)-trans-1.2-diaminocyclohexane,Acros Organics,,"0,01",100,,1121-22-8,Liquide,H314,,Skin Corr. 1B,Non soumis,,,50 Pa à 20 °C,E
111190250,cyclohexanone,Acros Organics,,"0,025",120,,108-94-1,Liquide,H226 H302 H312 H315 H318 H332,,"Flam. Liq. 3, Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Skin Irrit. 2, Eye Dam. 1",,7,155 °C,24 hPa,D/E
102400050,acetonylacetone,Acros Organics,"0,005",,130,,110-13-4,Liquide,H315 H319 H373,R10,"Skin Irrit. 2, Eye Irrit. 2A, STOT RE 2",Non soumis,"6,1",185 °C,60 Pa,D/E
,"1,6-dibromohexane",Aldrich,"0,025",,20,,629-03-8,Solide,H302 H317 H411,R22 R43 R51/53,"Acute Tox. 4 (Oral), Skin Sens. 1, Aquatic chronic Chronic 2",4511,,243 °C,100 Pa,E
108732,4-chlorobenzotrifluoride,Acros Organics,,"0,25",10,,98-56-6,Liquide,H226 H317 H411,,"Flam. Liq. 3, Skin Sens. 1, Aquatic chronic Chronic 2",,,,0 hPa à 25 °C,D/E
,salicylaldehyde,Acros Organics,"0,25",,20,,90-02-8,Liquide,H302 H315 H317 H319 H411,,"Acute Tox. 4 (Oral), Skin Irrit. 2, Eye Irrit. 2A, Skin Sens. 1, Aquatic chronic Chronic 2",,6,197 °C,79 Pa,
,4-(trifluoromethoxy)benzenesulfonyl chloride,Acros Organics,"0,005",,100,,94108-56-2,Liquide,H314,,Skin Corr. 1B,Non soumis,,,"11,891 mmHg à 20 °C",E
118885,1-ethylpiperidine,Acros Organics,,"0,5",300,,766-09-6,Liquide,H225 H301 H312 H314 H318 H331,,"Flam. Liq. 2, Acute Tox. 3 (Oral), Acute Tox. 3 (Inhal.), Acute Tox. 4 (Derm.), Skin Corr. 1B, Eye Dam. 1","4130,2","12,2",,"12,76 hPa à 20 °C",D/E
,4-chlorobenzoic acid,Acros Organics,"0,025",,10,,74-11-3,Solide,H302,,Acute Tox. 4 (Oral),Non soumis,"4,3",274 °C,,
,3-(trifluoromethyl)benzensulfonyl choride,Acros Organics,"0,005",,100,,777-44-6,Liquide,H314,,Skin Corr. 1B,Non soumis,,,,E
109661,4-chloro-2-nitrobenzoic acid,Acros Organics,"0,1",,111,,6280-88-2,Solide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
291750025,1-cyclohexene-1-carboxylic acid,Acros Organics,"0,0025",,100,,636-82-8,Solide,H314,,Skin Corr. 1B,Non soumis,,,,E
,ethyl-2-(2-aminothiazol-4-yl)-2-hydroxyamino acetate,Acros Organics,"0,1",,111,,64485-82-1,Solide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
140251000,Trimethyl sulfonium iodide,Acros Organics,"0,2",,111,,2181-42-2,Solide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
141021000,m-xylylenediamine,Acros Organics,,"0,1",210,,1477-55-0,Liquide,EUH071 H302 H314 H317 H332 H412,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Inhal.), Skin Corr. 1B, Skin Sens. 1, Aquatic chronic Chronic 3",Non soumis,12,,1 Pa à 25 °C,E
269970250,"1,1,1,3,3,3-hexafluoroacetone sesquihydrate",Acros Organics,"0,025",,310,,13098-39-0,Liquide,H301 H311 H315 H319 H335,R24/25 R36/37/38,"Acute Tox. 3 (Oral), Acute Tox. 3 (Derm.), Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,1,,202 hPa,D/E
219540500,2-(methyl-amino)ethanol,Acros Organics,"0,05",,220,,,Liquide,H302 H312 H314 H335,R21/22 R34,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Skin Corr. 1B, STOT SE 3",Non soumis,"13,6",159 °C,100 Pa,E
155040050,"1,3-dibromopropane",Acros Organics,,"0,005",11,,109-64-8,Liquide,H226 H302 H315 H411,,"Flam. Liq. 3, Acute Tox. 4 (Oral), Skin Irrit. 2, Aquatic chronic Chronic 2",,,,,
137855000,L(+)-tartaric acid,Acros Organics,1,,1,,87-69-4,Solide,H319,,Eye Irrit. 2A,Non soumis,"1,6",,5 Pa,
119491000,1-fluoro-4-nitrobenzene,Acros Organics,"0,1",,220,,350-46-9,Solide,H302 H312 H331 H373,,"Acute Tox. 3 (Inhal.), Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), STOT RE 2","4130,1",,,,E
T8859-5,trithiocyanuric acid,Ega Chemie,"0,025",,0,,638-16-4,Solide,,,,Non soumis,,,,
421890250,trimethylamine N-oxide dihydrate,Acros Organics,"0,025",,1,,62637-93-8,Solide,H315 H319,,"Skin Irrit. 2, Eye Irrit. 2A",Non soumis,,,,
92277-50G,trimethylamine N-oxide dihydrate,Fluka,"0,1",,1,,62637-93-8,Solide,H315 H319,,"Skin Irrit. 2, Eye Irrit. 2A",Non soumis,,,,
176350050,4-amino-1-butanol,Acros Organics,,"0,035",100,,13325-10-5,Liquide,H314,R34,Skin Corr. 1B,Non soumis,,206 °C,,E
220401000,Ethyl acetoacetate,Acros Organics,"0,1",,0,,141-97-9,Liquide,,,,,4,"180,6 °C",26 Pa,
107000050,3-bromofluorobenzene,Acros Organics,"0,005",,10,,1073-06-9,Liquide,H226 H302,,"Flam. Liq. 3, Acute Tox. 4 (Oral)",,,147 °C,,
154200250,3-bromochlorobenzene,Acros Organics,,"0,025",111,,108-37-2,Liquide,H315 H319 H335,R15,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,195 °C,,
162770500,4-hydroxybenzaldehyde,Acros Organics,"0,35",,1,,123-08-0,Solide,H315 H319,,"Skin Irrit. 2, Eye Irrit. 2A",Non soumis,,,,
294110100,4-chloro-2-methoxyphenol,Acros Organics,"0,01",,111,,16766-30-6,Liquide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
106631000,4-bromoanisole,Acros Organics,,"0,1",,,104-92-7,Liquide,,,,Non soumis,,,,
180931000,benzylamine,Acros Organics,,"0,2",110,,100-46-9,Liquide,H302 H312 H314,R21/22 R34,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Skin Corr. 1B",Non soumis,"11,4",,120 Pa,E
89620,m-toluidine,Fluka,,"0,1",400,,"108-44-1, 106-49-0",Liquide,EUH208 H301 H311 H331 H373 H400,,"Acute Tox. 3 (Oral), Acute Tox. 3 (Derm.), Acute Tox. 3 (Inhal.), STOT RE 2, Aquatic acute Acute 1","4130,2",7,204 °C,30 Pa,D/E
105540010,benzonitrile,Acros Organics,,1,20,,100-47-0,Liquide,H302 H312,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.)",,,190 °C,70 Pa,D/E
1203708500,2-heptanol,Acros Organics,,"0,05",10,,543-49-7,Liquide,H226 H312 H319,R21 R36,"Flam. Liq. 3, Acute Tox. 4 (Derm.), Eye Irrit. 2A",,,159 °C,160 Pa,D/E
179700100,2-iodobenzyl alcohol,Acros Organics,"0,01",,0,,5159-41-1,Liquide,,,,Non soumis,,,,
,"Benzene, 1,2-dibromo-4-methyl-",Acros Organics,"0,005",,111,,60956-23-2,Liquide,H315 H319 H335 H413,R19,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3, Aquatic chronic Chronic 4",Non soumis,,91 °C,,
,acetamide,Acros Organics,"0,1",,400,,60-35-5,Solide,H351,,Carc. 2,,,,100 Pa à 65 °C,
1550481,"1,3-dibromopropane",Chemica,,"0,1",11,,109-64-8,Liquide,H226 H302 H315 H411,,"Flam. Liq. 3, Acute Tox. 4 (Oral), Skin Irrit. 2, Aquatic chronic Chronic 2",,,,,
220610500,Propylamine,Acros Organics,"0,05",,210,,107-10-8,Liquide,H225 H290 H302 H311 H314 H331,R11 R20/21/22 R34,"Flam. Liq. 2, Met. Corr. 1, Acute Tox. 3 (Derm.), Acute Tox. 3 (Inhal.), Acute Tox. 4 (Oral), Skin Corr. 1B",4742,"12,6",48 °C,330 hPa,D/E
423495,1-butanol,Acros Organics,,"0,5",220,,71-36-3,Liquide,H226 H302 H315 H318 H335 H336,,"Flam. Liq. 3, Acute Tox. 4 (Oral), Skin Irrit. 2, Eye Dam. 1, STOT SE 3, STOT SE 3",,7,116 °C,670 Pa,D/E
1161269,dimethyl carbonate,Janssen,"0,5",,0,,616-38-6,Liquide,H225,,Flam. Liq. 2,,,90 °C,53 hPa,D/E
186060050,"2,2-dibromopropane",Acros Organics,"0,01",,130,,594-16-1,Liquide,H302 H312 H315 H319 H332 H335,R18,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,114 °C,,
149300010,propionic acid,Acros Organics,,2,210,,79-09-4,Liquide,H226 H314 H335,,"Flam. Liq. 3, Skin Corr. 1B, STOT SE 3",,"2,5","140,7 °C",500 Pa,E
P748115,propan-1-ol,Fisher,,1,210,,71-23-8,Liquide,H225 H318 H336,,"Flam. Liq. 2, Eye Dam. 1, STOT SE 3",,7,"96,5 °C",19 hPa,D/E
402741000,borane-trimethylamine complex,Acros Organics,"0,1",,111,,75-22-9,Solide,H228 H315 H319 H335,,"Flam. Sol. 1, Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",1450,,,,E
164252500,acrylic acid,Acros Organics,,"0,25",220,,79-10-7,Liquide,H226 H302 H312 H314 H332 H335 H400,,"Flam. Liq. 3, Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Skin Corr. 1A, STOT SE 3, Aquatic acute Acute 1",,"2,1",141 °C,380 Pa,D/E
,"1,2,3-trichloropropane",Aldrich,"0,025",,2300,,96-18-4,Liquide,H301 H311 H319 H331 H341 H350 H360 H372 H373 H411,,"Acute Tox. 3 (Oral), Acute Tox. 3 (Derm.), Acute Tox. 3 (Inhal.), Eye Irrit. 2A, Muta. 2, Carc. 1B, Repr. 1B, STOT RE 1, STOT RE 2, Aquatic chronic Chronic 2","4130,2",,,"665 Pa à 32,84 °C",E
,vinylacetic acid,Aldrich,,"0,1",500,,625-38-7,Liquide,H314 H317 H318 H335 H341 H351 H412,,"Skin Corr. 1B, Eye Dam. 1, Skin Sens. 1, Muta. 2, Carc. 2, STOT SE 3, Aquatic chronic Chronic 3",Non soumis,,,,E
132082500,pyrrolidine,Acros Organics,,"0,6",120,,123-75-1,Liquide,H225 H302 H314 H332,,"Flam. Liq. 2, Acute Tox. 4 (Oral), Acute Tox. 4 (Inhal.), Skin Corr. 1A",,"12,9",86 °C,65 hPa,D/E
138821000,thiophene,Acros Organics,"0,1",,11,,110-02-1,Liquide,H225 H302 H319 H412,,"Flam. Liq. 2, Acute Tox. 4 (Oral), Eye Irrit. 2A, Aquatic chronic Chronic 3",,,83 °C,80 hPa,D/E
120581000,"1,1,1,3,3,3-hexamethyldisilazane",Acros Organics,,"0,115",210,,999-97-3,Liquide,H225 H302 H311 H314 H331,,"Flam. Liq. 2, Acute Tox. 3 (Derm.), Acute Tox. 3 (Inhal.), Acute Tox. 4 (Oral), Skin Corr. 1B",,,126 °C,20 hPa,D/E
,ethyl isobutyrate,Aldrich,,"0,1",0,,97-62-1,Liquide,H225,,Flam. Liq. 2,,,,"40 mmHg à 33,8 °C",D/E
149690010,di-n-butyl ether,Acros Organics,,1,111,,142-96-1,Liquide,H226 H315 H319 H335 H412,,"Flam. Liq. 3, Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3, Aquatic chronic Chronic 3",,"5,2",140 °C,640 Pa,D/E
301250025,1-octene,Acros Organics,,"2,5",101,,111-66-0,Liquide,H225 H304 H315 H319 H411,R11 R36/38 R51/53 R65,"Flam. Liq. 2, Skin Irrit. 2, Eye Irrit. 2A, Asp. Tox. 1, Aquatic chronic Chronic 2",,,,"17,3 hPa",
190251,diisobutylamine,Acros Organics,,"0,5",200,,110-96-3,Liquide,H226 H301 H314 H318 H412,,"Flam. Liq. 3, Acute Tox. 3 (Oral), Skin Corr. 1B, Eye Dam. 1, Aquatic chronic Chronic 3",,,,,D/E
74902,1-octene,Siccap,,"0,1",101,,111-66-0,Liquide,H225 H304 H315 H319 H411,R11 R36/38 R51/53 R65,"Flam. Liq. 2, Skin Irrit. 2, Eye Irrit. 2A, Asp. Tox. 1, Aquatic chronic Chronic 2",,,,"17,3 hPa",
171571000,4'-bromoacetanilide,Acros Organics,"0,1",,0,,103-88-8,Solide,,,,Non soumis,,,,
118041000,N-ethylaniline,Acros Organics,"0,1",,400,,103-69-5,Liquide,H301 H311 H331 H373,,"Acute Tox. 3 (Oral), Acute Tox. 3 (Derm.), Acute Tox. 3 (Inhal.), STOT RE 2","4130,2",,,"0,5 mmHg à 38 °C",E
297122500,"1,5-cyclooctadiene",Acros Organics,,"0,25",110,,111-78-4,Liquide,H226 H302 H304 H332 H400 H410,,"Flam. Liq. 3, Acute Tox. 4 (Oral), Acute Tox. 4 (Inhal.), Asp. Tox. 1, Aquatic acute Acute 1, Aquatic chronic Chronic 1",,,246 050 °C,"25,8 mmHg à 37,7 °C",D/E
118641000,ethyl isonipecotate,Acros Organics,"0,1",,0,,1126-09-6,Liquide,,,,Non soumis,,,,
107570250,alpha-bromo-p-xylene,Acros Organics,"0,025",,100,,104-81-4,Liquide,H314,,Skin Corr. 1B,Non soumis,,,,D/E
118080250,ethylbenzene,Acros Organics,,"0,05",220,,100-41-4,Liquide,H225 H304 H332 H373,,"Flam. Liq. 2, Acute Tox. 4 (Inhal.), STOT RE 2, Asp. Tox. 1",,,136 °C,950 Pa,D/E
152370050,p-anisic acid,Acros Organics,"0,01",,121,,100-09-4,Solide,H302 H315 H319 H335,,"Acute Tox. 4 (Oral), Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
,trans-2-octene,Fluka,,"0,005",100,,13389-42-9,Liquide,H225 H304,,"Flam. Liq. 2, Asp. Tox. 1",,,,"31 mmHg à 37,7 °C",
149990100,trans-2-octene,Acros Organics,,"0,01",100,,13389-42-9,Liquide,H225 H304,,"Flam. Liq. 2, Asp. Tox. 1",,,,"31 mmHg à 37,7 °C",
177481000,"1.3-cyclohexanebis(methylamine), mixture of cis and trans",Acros Organics,"0,1",,110,,2579-20-6,Liquide,H302 H312 H314 H412,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Skin Corr. 1A, Aquatic chronic Chronic 3",Non soumis,,,,E
310530500,trans-2-hexenyl acetate,Acros Organics,"0,1",,111,,2497-18-9,Liquide,H226 H315 H319 H335,,"Flam. Liq. 3, Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",,,,,D/E
D12980-1,"2,4-dimethoxyaniline",Acros Organics,"0,005",,121,,2735-04-8,Liquide,H302 H315 H319 H335,,"Acute Tox. 4 (Oral), Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
,chlorodimethyl(pentafluorophenyl)silane,Acros Organics,"0,005",,100,,20082-71-7,Liquide,H314 H318,,"Skin Corr. 1B, Eye Dam. 1",Non soumis,,78 °C,,E
354390010,"3,4-dimethoxybenzenesulfonyl chloride",Acros Organics,"0,01",,100,,23095-31-0,Liquide,H314,,Skin Corr. 1B,Non soumis,,,,E
N7878,nitrofurantoin,Sigma Aldrich,"0,01",,120,,67-20-9,Solide,H302 H317 H334,,"Acute Tox. 4 (Oral), Resp. Sens. 1, Skin Sens. 1",Non soumis,,,,
235340050," 1,4-Dioxaspiro[4.5]decan-8-one ",Acros Organics,"0,015",,111,,4746-97-8,Liquide,H315 H319 H335,R23,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
105151000,"2,2'-azobis(2-methylpropionitrile)",Acros Organics,"0,225",,20,,78-67-1,Solide,EUH044 H242 H302 H332 H412,,"Org. Perox. C, Acute Tox. 4 (Oral), Acute Tox. 4 (Inhal.), Aquatic chronic Chronic 3",4421,,,1 Pa à 25 °C,D
151820050,D(+)-alpha-methylbenzylamine,Acros Organics,"0,005",,110,,3886-69-9,Liquide,H302 H312 H314,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Skin Corr. 1B",Non soumis,,,40 Pa à 20 °C,E
304281000,Sec-phenetyl alcohol,Acros Organics,,"0,1",11,,98-85-1,Liquide,H302 H319,R35,"Acute Tox. 4 (Oral), Eye Irrit. 2A",Non soumis,,203 °C,,E
20425,tert-butoxy-bis(dimethylamino)methane,Fluka,,"0,1",111,,5815-08-7,Liquide,H226 H315 H319 H335,R37,"Flam. Liq. 3, Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",,,50 °C,,
9371,1-bromo-4-isopropylbenzene,Fluka,,"0,001",1,,586-61-8,Liquide,H315 H319 H411,,"Skin Irrit. 2, Eye Irrit. 2A, Aquatic chronic Chronic 2",4511,,219 °C,,
207360050,"1-phenyl-1,2-propanedione",Acros Organics,"0,02",,121,,579-07-7,Solide,H302 H315 H319 H335,,"Acute Tox. 4 (Oral), Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
186490050,2-isopropenylaniline,Acros Organics,"0,005",,111,,52562-19-3,Liquide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
71276,1-(tetrahydro-2-furylmethyl)piperazine,Fluka,"0,001",,111,,82500-35-4,Liquide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
,"1,3-cyclohexanebis(methylamine), mixture isomers",Acros Organics,,"0,005",110,,2579-20-6,Liquide,H302 H312 H314 H412,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Skin Corr. 1A, Aquatic chronic Chronic 3",Non soumis,,,,E
130860250,DL-2-phenylpropionaldehyde,Acros Organics,"0,225",,130,,93-53-8,Liquide,H315 H317 H319 H361f,,"Skin Irrit. 2, Eye Irrit. 2A, Skin Sens. 1, Repr. 2",Non soumis,,202 °C,13 hPa à 86 °C,
69775,lactic acid,Fluka,,"0,25",100,,79-33-4,Liquide,H314,,Skin Corr. 1A,Non soumis,"1,8",,,
138200250,"1,2,3,4-tetrahydroisoquinoline",Acros Organics,"0,025",,120,,91-21-4,Liquide,H302 H312 H314 H318 H332,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Skin Corr. 1B, Eye Dam. 1",Non soumis,,232 °C,,
218600250,"1,3-diiodopropane",Acros Organics,,"0,025",1,,627-31-6,Liquide,H315 H319,,"Skin Irrit. 2, Eye Irrit. 2A",Non soumis,,111 °C,,
W274100,Methyl-3-phenylpropionate,SAFC,,"0,01",,,103-25-3,Liquide,,,,Non soumis,,236 °C,,
264198,Isosafrol (cis+trans),Fluka,,"0,1",11,,120-58-1,Liquide,H302 H315,,"Acute Tox. 4 (Oral), Skin Irrit. 2",Non soumis,,,,
111871000,Decane,Acros Organics,,"0,1",101,,124-18-5,Liquide,EUH066 H226 H304,,"Flam. Liq. 3, Asp. Tox. 1",,,174 °C,,D/E
27480,(+-)-β-citronellol,Siccap,,"0,5",10,,106-22-9,Liquide,H315 H317 H319,,"Skin Irrit. 2, Eye Irrit. 2A, Skin Sens. 1",Non soumis,,,,
112089,(-)-B-pinene,Janssen,1,,110,,127-91-3,Liquide,H226 H304 H315 H317 H400 H410,,"Flam. Liq. 3, Skin Irrit. 2, Skin Sens. 1, Asp. Tox. 1, Aquatic acute Acute 1, Aquatic chronic Chronic 1",,,,,D/E
671016,Pyridine,SDS,,1,30,,110-86-1,Liquide,H225 H302 H312 H315 H319 H332,,"Flam. Liq. 2, Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Skin Irrit. 2, Eye Irrit. 2A",,"8,81",115 °C,"26,7 hPa",D/E
1495719,Valeric acid,Janssen,,"0,5",100,,109-52-4,Liquide,H314 H318 H412,,"Skin Corr. 1B, Eye Dam. 1, Aquatic chronic Chronic 3",,,,,E
1505015,Ethyl propionate,Janssen,,"0,5",0,,105-37-3,Liquide,H225,,Flam. Liq. 2,,,,"40 hPa à 27,2 °C",D/E
114225000,Diethyl carbonate,Acros Organics,,"0,5",0,,105-58-8,Liquide,H226,,Flam. Liq. 3,,"6,3",126 °C,11 hPa,D/E
159562500,Dimethyl Malonate,Acros Organics,,"0,25",1,,108-59-8,Liquide,H319,,Eye Irrit. 2A,Non soumis,,181 °C,15 Pa,
129962500,"2,4-pentanedione",Acros Organics,"0,25",,210,,123-54-6,Liquide,H226 H302 H311 H331,,"Flam. Liq. 3, Acute Tox. 3 (Derm.), Acute Tox. 3 (Inhal.), Acute Tox. 4 (Oral)",,6,"139,5 °C",790 Pa,D/E
408550250,"2,2-dimethyl-1,3-propanediol",Acros Organics,"0,025",,100,,126-30-7,Liquide,H318,,Eye Dam. 1,,,,"0,8 mmHg à 20 °C",
157620050,L(-)-proline,Acros Organics,"0,005",,0,,147-85-3,Solide,,,,Non soumis,5,,,
10429,"3-amino-2,2-dimethyl-1-propanol",Lancaster,"0,005",,,,26734-09-8,Liquide,,,,Non soumis,,,,
189440050,Tetrahydro-4H-pyran-4-one,Acros Organics,"0,005",,0,,29943-42-8,Liquide,H226,,Flam. Liq. 3,,,,,D/E
,cyclopentane,Merck,,"0,1",0,,287-92-3,Liquide,H225 H412,,"Flam. Liq. 2, Aquatic chronic Chronic 3",,,,"126,5 Pa à 55 °C",D/E
149330010,2-picoline,Acros Organics,,1,130,,109-06-8,Liquide,H226 H302 H312 H319 H332 H335,R10 R20/21/22 R36/37,"Flam. Liq. 3, Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Eye Irrit. 2A, STOT SE 3",,"8,5",129 °C,12 hPa,D/E
1464191,Chlorobenzene,Janssen,,1,11,,108-90-7,Liquide,H226 H315 H332 H411,R10 R20 R51/53,"Flam. Liq. 3, Acute Tox. 4 (Inhal.), Skin Irrit. 2, Aquatic chronic Chronic 2",,20,132 °C,12 hPa,D/E
KM07599EA,4-Chloro-2-(trifluoromethyl)-quinoline,MayBridge,"0,02",,111,,1701-24-2,Liquide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
367090010,"1-(2,4-difluorophenyl) piperazine",Acros Organics,"0,01",,111,,115761-79-0,Liquide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,100 °C,,
118061000,4-ethylaniline,Acros Organics,"0,1",,400,,589-16-2,Liquide,H301 H311 H331 H373,R11,"Acute Tox. 3 (Oral), Acute Tox. 3 (Derm.), Acute Tox. 3 (Inhal.), STOT RE 2","4130,2",,216 °C,,
204350250,"N,N-Dimethyl-1,4-phenylenediammonium dichloride",Acros Organics,"0,025",,300,,536-46-9,Solide,H301 H311 H331,,"Acute Tox. 3 (Oral), Acute Tox. 3 (Derm.), Acute Tox. 3 (Inhal.)","4130,1","1,6",,,D/E
16920,"4-bromo-N,N-dimethylaniline",Fluka,"0,025",,30,,586-77-6,Liquide,H302 H312 H315 H319 H332,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Skin Irrit. 2, Eye Irrit. 2A",Non soumis,,,,
126345000,Methyl benzoate,Acros Organics,,"0,5",10,,93-58-3,Liquide,H302,,Acute Tox. 4 (Oral),,,,"0,38 mmHg à 25 °C",
21141000,quinoline,Acros Organics,"0,2",,1300,,91-22-5,Liquide,H301 H312 H315 H319 H341 H350 H411,,"Acute Tox. 3 (Oral), Acute Tox. 4 (Derm.), Skin Irrit. 2, Eye Irrit. 2A, Muta. 2, Carc. 1B, Aquatic chronic Chronic 2",,"7,3",,11 Pa à 25 °C,E
182270050,3-Phenyl-1-butanol,Acros Organics,,"0,01",0,,2722-36-3,Liquide,,,,Non soumis,,,,
13150,4-phenyl-2-butanone,Fluka,,"0,1",0,,2550-26-7,Liquide,,,,Non soumis,,,"4 Pa à 20,1 °C",
M2780,(-)-menthol,Ega Chemie,"0,5",,1,,2216-51-5,Solide,H315,,Skin Irrit. 2,Non soumis,,216 °C,,
181190100,4-Chloro-7-(trifluoromethyl)quinoline,Acros Organics,"0,015",,111,,346-55-4,Liquide,H315 H319 H335,R19,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
73659,1-(4-Chlorphenyl)piperazine,Fluka,"0,001",,111,,38212-33-8,Solide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
KM09485EA,8-fluoro-2-(trifluoromethyl)quinoline-4-ol,MayBridge,"0,01",,111,,31009-31-1,Solide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
